Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2025-07-31 11:40:15,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7356649896893923329,"🚩 Let's call it what it is -- there's a lot of BS jobs out there.""
""""
""Titles like ""Chief Happiness Engineer"" and ""Digital Transformation Sherpa""""
""""
""Spin like ""thrives in ambiguity"" when the rest of the JD screams ""we don't know what you'll be doing!""""
""""
""And the classic ""competitive salary"". Competitive with what? The poverty line?""
""""
""Whether intentional or not, you should be aware of red flags in any job to which you apply. ""
""""
""That's why we built a BS Job Detector. ""
""""
""Just drop in the job description, and we'll highlight:""
""⚫️ Potential role misrepresentations""
""⚫️ Cultural red flags""
""⚫️ Unrealistic expectations ""
""⚫️ Compensation Concerns""
""⚫️ Key clarifying questions to ask during interviews""
""""
""It's totally free - no login or credit card needed. ""
""""
""Because if your dream job is actually a nightmare, it's best to know before you even apply!""
""""
""🔗 Link in the comments. ""
""""
""Please share and repost for visibility and help out your peers who are job seeking!","","",MEMBER_NETWORK
2025-07-30 12:31:47,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7356300477841481728,"Tick tock, Logan Currie 😂","","",MEMBER_NETWORK
2025-07-29 18:28:39,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7356027898006237184,"The weapons-grade intensity of my smugness may rip us apart as cofounders.""
""""
""I beg of you.""
""""
""If you want Careerspan to survive, please don't let me win.""
""""
""I will be physically incapable of not pushing Logan Currie's buttons if she loses.","","",MEMBER_NETWORK
2025-07-29 05:31:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7355832341576982528,"Humans use AI to spam applications.""
""Companies use AI to filter out spam.""
""""
""It's a situation so tragic, Greek playwrights would call this ""a bit much""""
""""
""So let me break it down Barney style for y'all. ""
""""
""Auto-apply is like me on the dance floor: it has a *very* limited set of moves and by jove is it going to use all of them.""
""""
""Swap ""managed"" for ""spearheaded.""""
""Guess that you ""increased engagement by 25%."" (why is it always 25%?)""
""Make up something so generic, the pharma industry wants to ban it""
""""
""That's it. That's their whole schtick.""
""""
""It's as futile as trying to elevate a Ramen dinner.""
""You can change the flavor packet.""
""Add some frozen vegetables.""
""Throw in some cheese if you're a nutcase like me.""
""But when it's all said and done, that's still ramen.""
""""
""Because they don't really know you. And they don't care to as long as you'll pay them $50 a month and feel good that ""number go up""""
""""
""Meanwhile, your *actual* career?""
""That's a walk-in fridge full of prime ingredients.""
""The time you saved a product launch from disaster.""
""Building a following from 500 to 5,000 during a brand crisis.""
""The junior colleagues you mentored who all got promoted.""
""""
""Real stories. Real numbers. Real impact.""
""""
""Valuable context that auto-apply can't do jacksh*t without. ""
""""
""It's making instant ramen while your Michelin-worthy ingredients sit in the back--untouched, forgotten, and about to rot anytime. ""
""""
""Instead, it's the same, sad noodles hundreds of times a day.""
""And hoping the hiring manager happens to be really, really hungry.""
""""
""So do yourself a massive favor: take stock of your career inventory.""
""""
""Because then, you'll really be cooking with gas!","","",MEMBER_NETWORK
2025-07-27 19:23:40,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7355316967387328512,"Got another fascinating job recommendation today: Music Central Assistant at Endeavor.""
""""
""Their algorithm's logic? Flawless.""
""""
""I exist in New York. They exist in New York. I was once in a team. They have a team.""
""""
""My decade in career coaching? Irrelevant.""
""""
""My complete lack of passion for working in the music industry? Details!""
""""
""This isn't even uniquely bad. LinkedIn once suggested I'd be ""perfect"" for entry-level social media.""
""""
""I can only assume this is because I'm below the age of 75 and don't live in a cave. ""
""""
""Every platform plays keyword bingo. ""
""""
""""You're interested in Strategy, you say? Would you prefer Chief Strategy Officer at Land O' Lakes or SEO Strategy Specialist at Lockheed?"" ""
""""
""What sucks is that Music Central Assistant is probably perfect for someone out there and they almost certainly didn't get this posting (though they definitely got the Lockheed one).""
""""
""These platforms have no f*ckin clue who you are.""
""""
"".....But what if they did?""
""""
""Not just 50 keywords they forced you to vomit out during onboarding.  ""
""""
""I mean your values. Your deal-breakers. What makes YOU tick. And the context that informs whether you're applying to Disney or Deloitte. ""
""""
""That's why we're building Careerspan to be different. ""
""""
""We're coaching-driven because that is, objectively, the best way to understand a person and their goals--in all their messy and nuanced fullness. ""
""""
""So if you want a job recommendation system that gives enough of a shit to remember more than just your name, sign up at www.mycareerspan.com.""
""""
""Because the difference between matching keywords and matching humans makes all the difference in the world.""
""""
""Drop your best worst job rec below 👇","","",MEMBER_NETWORK
2025-07-27 16:39:29,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7355275650552799235,"Real talk: Every founder is secretly *convinced* that they're working on a moonshot. ""
""""
""As though they're just three pivots away from curing cancer.""
""""
""You start with an AI-powered to-do list.""
"" → Add a social graph""
"" → Add a blockchain layer""
"" → ???""
"" → Boom. Oncology, disrupted""
""""
""We all know a founder like this.""
""""
""Hell, most of us *are* this founder at some point.""
""""
""And sure, most of us are actually just building the 9th CRM for fractional teams.""
""""
""Or some kind of Slack-integrated Notion for people who hate both Slack and Notion.""
""""
""But somewhere in that delusion is a kernal of something pure.""
""""
""The belief that even a silly little productivity app might unlock a future no one--not even we ourselves--could have predicted. ""
""""
""Because let’s not forget:""
""🎯 Twitter started as a podcasting company""
""🎯 Shopify started as a snowboard shop""
""🎯Airbnb started as an Air-Mattress-as-a-Service""
""💪 And Craigslist… has somehow never pivoted. Because they're legends.""
""""
""So mock the founder delusion if you want—just don’t forget: Delusion isn't a bug in a founder's OS, it's a feature.","","",MEMBER_NETWORK
2025-07-26 20:35:59,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7354972779676352512,"We try and build a network when we should have one warmed up and ready to leverage. ""
""""
""We work on our resumes long after we've been emotionally drained by our job, if not laid off outright. ""
""""
""It's like getting all of your healthcare needs met at the ER.","","",MEMBER_NETWORK
2025-07-26 12:46:07,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7354854534336106496,"Are you happy with your job? ""
""""
""Because, regardless of whether the answer is ""yes"" or ""no"", you should be job hunting (sort of).""
""""
""Let me explain...""
""""
""Most of us suck at job hunting. ""
""""
""Not because we lack talent or ambition, but because we treat it like a chore instead of a skill.""
""""
""Job hunting is one of the few critical life skills we only practice every few years. ""
""Unlike daily skills we naturally improve through repetition, job hunting sits dormant until desperation strikes. ""
""Then we rush to ""get a job"" rather than mastering the craft of landing the right opportunity.""
""""
""The feedback loop is broken too. ""
""Employers rarely tell you why you didn't make the cut, so you're left guessing what went wrong. ""
""Without feedback, there's no growth. ""
""Without practice, there's no mastery.""
""""
""Here's the game-changer: Stop treating job hunting as an isolated event. ""
""""
""Instead, weave its core skills into your daily professional life:""
""⚫️ Practice articulating your value regularly, not just when updating your resume""
""⚫️ Build relationships before you need them""
""⚫️ Document your wins as they happen""
""⚫️ Seek mentorship and feedback consistently""
""""
""Fold these habits into regular self-advocacy: whether you're gunning for a promotion, seeking a mentor, or just growing professionally.""
""""
""That's why the best time to hone your job-hunting skills is right when you don't need them.","","",MEMBER_NETWORK
2025-07-25 13:14:21,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7354499248945565699,"Ego: Is it a founder's greatest weapon or their Achilles' Heel?""
""""
""Or a bit of both?""
""""
""A measure of arrogance can be your greatest asset.""
""""
""⚫️ VCs bet on founders with that ""reality distortion field"" energy""
""⚫️ Operators buy into impossible missions based on the strength of your conviction""
""⚫️ That unshakeable belief becomes your psychological anchor when everything's crumbling at 2 AM""
""""
""But that same ego can become a fatal flaw when:""
""""
""🔴 Talking to customers—you'll build what you want, not what they need""
""🔴 Running a team—you'll lead an army of one""
""🔴 Facing market feedback—you'll miss the pivot that could save you""
""""
""The founders who actually make it? ""
""""
""They've mastered the art of strategic humility. ""
""They walk into a VC meeting ready to reshape industries, then sit with customers ready to throw out everything they just pitched.""
""""
""At the end of the day, your ego is like any other tool—knowing exactly when to deploy it and when to holster it makes all the difference.","","",MEMBER_NETWORK
2025-07-24 13:35:00,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7354142059949113345,"Getting ghosted on outreach? Even by people you know?""
""""
""When someone helps you—makes an intro, gives a referral—they're not spending social capital. They're accepting YOUR social currency in exchange for theirs.""
""""
""They trade their credibility today for your potential tomorrow. Every introduction is them saying, ""I'll trade my established reputation for this person's future value.""""
""""
""This is why people ghost you. Not because they're mean or busy, but because you haven't shown them why your currency is a good trade.""
""""
""So how do you signal your currency will appreciate?""
""""
""👉 Momentum proof: Not ""I'm passionate about X"" but ""I published 3 analyses on X that industry leaders shared"" or ""I built a tool that 200 people now use weekly.""""
""""
""👉 Skin in the game: ""I'm investing my evenings in this certification"" hits different than ""I'm interested in this space.""""
""""
""👉 Follow-through evidence: ""Here's exactly what I'll do with this intro and by when"" backed by ""Here's how I maximized the last connection someone made for me.""""
""""
""👉 Reciprocal value: Show you're already helping others in your network, even with ""lesser"" currency. It signals you understand the exchange economy.""
""""
""Cold outreach works when you make the ""currency exchange"" attractive—when you signal that your currently unproven dollars are bound to go parabolic one day.","","",MEMBER_NETWORK
