Action,Date,Ad Title/Id,Page/App
Impression,2025/10/12,681880036,Samsung TV Plus FREE
Impression,2025/10/12,702343444,Word Search Explorer: Fun Game
Impression,2025/10/12,742368164,Word Search Explorer: Fun Game
Impression,2025/10/12,742388484,Word Search Explorer: Fun Game
Impression,2025/10/12,777021574,thegamer.com
Impression,2025/10/12,794342356,Samsung TV Plus FREE
Impression,2025/10/12,797255956,Word Search Explorer: Fun Game
Impression,2025/10/12,797284216,Word Search Explorer: Fun Game
Impression,2025/10/12,812210034,thegamer.com
Impression,2025/10/12,840042184,Word Search Explorer: Fun Game
Impression,2025/10/12,840062524,Word Search Explorer: Fun Game
Impression,2025/10/12,845190356,Word Search Explorer: Fun Game
Impression,2025/10/12,848287723,Word Search Explorer: Fun Game
Impression,2025/10/12,855466614,Word Search Explorer: Fun Game
Impression,2025/10/12,859864633,Samsung TV Plus FREE
Impression,2025/10/12,872819426,Word Search Explorer: Fun Game
Impression,2025/10/12,891302756,Samsung TV Plus FREE
Impression,2025/10/12,908088996,Word Search Explorer: Fun Game
Impression,2025/10/12,908098476,Word Search Explorer: Fun Game
Impression,2025/10/12,908462946,Word Search Explorer: Fun Game
Impression,2025/10/13,750538904,Samsung TV Plus FREE
Impression,2025/10/13,756406653,Samsung TV Plus FREE
Impression,2025/10/13,757228076,Samsung TV Plus FREE
Impression,2025/10/13,796762706,Samsung TV Plus FREE
Impression,2025/10/13,849242164,Samsung TV Plus FREE
Impression,2025/10/13,859983633,Samsung TV Plus FREE
Impression,2025/10/13,878200883,yahoo.com
Impression,2025/10/14,751477316,Samsung TV Plus FREE
Impression,2025/10/14,833001616,Samsung TV Plus FREE
Impression,2025/10/14,836258933,Samsung TV Plus FREE
Impression,2025/10/14,840092434,Samsung TV Plus FREE
Impression,2025/10/14,859824103,Samsung TV Plus FREE
Impression,2025/10/15,905323676,WatchFree+
Impression,2025/10/16,776499684,nypost.com
Impression,2025/10/16,855554434,yahoo.com
Impression,2025/10/17,827030284,hollywoodreporter.com
Impression,2025/10/17,827030284,yahoo.com
Impression,2025/10/17,854226303,yahoo.com
Impression,2025/10/17,863516653,WatchFree+
Impression,2025/10/17,879879256,yahoo.com
Impression,2025/10/17,879879256,yahoo.com
Impression,2025/10/17,889339106,yahoo.com
Impression,2025/10/17,889339106,yahoo.com
Impression,2025/10/18,863486943,Samsung TV Plus FREE
Impression,2025/10/18,863486953,Samsung TV Plus FREE
Impression,2025/10/18,905284826,Samsung TV Plus FREE
Impression,2025/10/18,922181506,Samsung TV Plus FREE
Impression,2025/10/19,681880036,Samsung TV Plus FREE
Impression,2025/10/19,714175483,Samsung TV Plus FREE
Impression,2025/10/19,750313144,Samsung TV Plus FREE
Impression,2025/10/19,750502524,Samsung TV Plus FREE
Impression,2025/10/19,823838976,Samsung TV Plus FREE
Impression,2025/10/19,862522684,Samsung TV Plus FREE
Impression,2025/10/19,922072436,Samsung TV Plus FREE
Impression,2025/10/20,756922153,Samsung TV Plus FREE
Impression,2025/10/20,820319653,Samsung TV Plus FREE
Impression,2025/10/20,859824983,Samsung TV Plus FREE
Impression,2025/10/20,882432473,TCLTVPLUS
Impression,2025/10/20,905323676,Samsung TV Plus FREE
Impression,2025/10/20,908559846,Samsung TV Plus FREE
Impression,2025/10/20,922299776,Samsung TV Plus FREE
Impression,2025/10/21,750538904,WatchFree+
Impression,2025/10/21,751976646,yahoo.com
Impression,2025/10/21,801199886,Bloomberg: Business News FREE
Impression,2025/10/21,812229784,yahoo.com
Impression,2025/10/22,468433886,yahoo.com
Impression,2025/10/22,468433986,yahoo.com
